coding/karpathy|multica-ai/andrej-karpathy-skills|main|2c606141936f1eeef17fa3043a72095b4765b9c2|2026-08-31
coding/taste-skill|Leonxlnx/taste-skill|main|ccbc15639c97057cbfcf32ecebc38ef716e4bb37|2026-08-31
image/huashu-design|alchaincyf/huashu-design|master|a790f704d85f277cc93d2081b0840d00036969bb|2026-08-31
image/ian-xiaohei-illustrations|helloianneo/ian-xiaohei-illustrations|main|91b560849e8f883922cc2fa8a358a668caa94105|2026-08-31
image|Leonxlnx/taste-skill|main|ccbc15639c97057cbfcf32ecebc38ef716e4bb37|2026-08-31
writing|KKKKhazix/human-writing|main|4fda173f3fef7fb808f3eba991eeb2528ea4b189|2026-08-31
writing/humanizer-zh|op7418/Humanizer-zh|main|91f3d394db8419c20d67ebe22a96cf8fee0a404b|2026-08-31
writing/human-writing|KKKKhazix/human-writing|main|4fda173f3fef7fb808f3eba991eeb2528ea4b189|2026-08-31
coding/harness-flow|hujianbest/harness-flow|main|f39a93b889b2b3a67caa6c9e3bbfd63a2189a7bb|2026-09-01
meta/vercel-labs/find-skills|vercel-labs/skills|main|d667282815248da03a08a18272b5d2eef9caf77c|2026-09-12
coding/addyosmani|addyosmani/agent-skills|main|be4e44a9fbc5e8df0beaefadbb28bd22ee61cc39|2026-09-13
coding/anthropics|anthropics/skills|main|34040c9c568585f6929bedeaad110ad08f079624|2026-09-13
coding/khazix|KKKKhazix/khazix-skills|main|3fa874169134f65b14e8a27164386510bc867037|2026-09-13
coding/archify|tt-a1i/archify|main|6db72a9aea3d0f67a6a034e41f8a5491476a11c1|2026-09-13
coding/mattpocock|mattpocock/skills|main|3cca18b368ae95cdbdebbff572ccafa662551015|2026-09-13
coding/ponytail|DietrichGebert/ponytail|main|356918eba965ee1eac64bd3a7f0dd02108350de5|2026-09-13
coding/ui-ux-pro-max|nextlevelbuilder/ui-ux-pro-max-skill|main|7f69fed6a2717900085f1bc3b263721f8ba025e2|2026-09-13
document|anthropics/skills|main|34040c9c568585f6929bedeaad110ad08f079624|2026-09-13
document|KKKKhazix/khazix-skills|main|3fa874169134f65b14e8a27164386510bc867037|2026-09-13
document/obsidian-skills|kepano/obsidian-skills|main|8ccef29ae8624eccc734e77ced4a6e54baf5d83a|2026-09-13
document/image-to-editable-ppt|ningzimu/image-to-editable-ppt-skill|main|4b0778647277d59cba890856cf98a2aff6639808|2026-09-13
image|anthropics/skills|main|34040c9c568585f6929bedeaad110ad08f079624|2026-09-13
image|JimLiu/baoyu-skills|main|1567581c26ec29f4216c6e6835415bf30343b0e3|2026-09-13
